continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,days
Europe,Iceland,2020-06-20,1819.0,3.0,10.0,0.0,5330.403,8.791,29.304000000000002,,,,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,172
Asia,India,2020-06-20,395048.0,14516.0,12948.0,375.0,286.26599999999996,10.519,9.383,,,,,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,172
Asia,Indonesia,2020-06-20,43803.0,1041.0,2373.0,34.0,160.143,3.806,8.676,,,,,273523621,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,172
Asia,Iran,2020-06-20,200262.0,2615.0,9392.0,120.0,2384.271,31.134,111.819,,,,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,172
Asia,Iraq,2020-06-20,25717.0,0.0,856.0,0.0,639.368,0.0,21.281999999999996,,,,,40222503,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,172
Europe,Ireland,2020-06-20,25368.0,13.0,1714.0,0.0,5137.515,2.633,347.11800000000005,,,,,4937796,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,172
Europe,Isle of Man,2020-06-20,336.0,0.0,24.0,0.0,3951.454,0.0,282.247,,,,,85032,147.872,,,,,,,,,,,,81.4,172
Asia,Israel,2020-06-20,20339.0,303.0,304.0,1.0,2349.824,35.006,35.122,,,,,8655541,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,172
Europe,Italy,2020-06-20,238011.0,-148.0,34561.0,47.0,3936.55,-2.448,571.617,,,,,60461828,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,172
North America,Jamaica,2020-06-20,652.0,26.0,10.0,0.0,220.18400000000003,8.78,3.377,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,172
Asia,Japan,2020-06-20,17799.0,59.0,952.0,17.0,140.73,0.466,7.527,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,172
Europe,Jersey,2020-06-20,318.0,0.0,31.0,1.0,3146.241,0.0,306.709,,,,,101073,,,,,,,,,,,,,,172
Asia,Jordan,2020-06-20,1008.0,7.0,9.0,0.0,98.79299999999999,0.6859999999999999,0.882,,,,,10203140,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,172
Asia,Kazakhstan,2020-06-20,16779.0,428.0,113.0,8.0,893.607,22.794,6.018,,,,,18776707,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,172
Africa,Kenya,2020-06-20,4374.0,117.0,119.0,2.0,81.345,2.176,2.213,,,,,53771300,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,172
Europe,Kosovo,2020-06-20,1486.0,0.0,33.0,0.0,768.8430000000001,0.0,17.074,,,,,1932774,168.155,,,,9795.834,0.6,,,,,,,,172
Asia,Kuwait,2020-06-20,38678.0,604.0,313.0,5.0,9056.885,141.433,73.292,,,,,4270563,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,172
Asia,Kyrgyzstan,2020-06-20,2981.0,192.0,35.0,3.0,456.915,29.429000000000002,5.365,,,,,6524191,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,172
Asia,Laos,2020-06-20,19.0,0.0,0.0,0.0,2.611,0.0,0.0,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,172
Europe,Latvia,2020-06-20,1110.0,2.0,30.0,0.0,588.484,1.06,15.905,,,,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,172
Asia,Lebanon,2020-06-20,1510.0,15.0,32.0,0.0,221.231,2.198,4.688,,,,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,172
Africa,Lesotho,2020-06-20,4.0,0.0,0.0,0.0,1.867,0.0,0.0,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,172
Africa,Liberia,2020-06-20,581.0,39.0,33.0,0.0,114.875,7.711,6.525,,,,,5057677,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,172
Africa,Libya,2020-06-20,510.0,10.0,10.0,0.0,74.222,1.455,1.455,,,,,6871287,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,172
Europe,Liechtenstein,2020-06-20,83.0,0.0,1.0,0.0,2176.364,0.0,26.221,,,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,172
Europe,Lithuania,2020-06-20,1792.0,8.0,76.0,0.0,658.2689999999999,2.9389999999999996,27.918000000000003,,,,,2722291,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,172
Europe,Luxembourg,2020-06-20,4099.0,8.0,110.0,0.0,6548.174,12.78,175.726,,,,,625976,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,172
Europe,Macedonia,2020-06-20,4820.0,156.0,222.0,6.0,2313.548,74.878,106.55799999999999,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,172
Africa,Madagascar,2020-06-20,1443.0,40.0,13.0,0.0,52.111000000000004,1.445,0.469,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,172
Africa,Malawi,2020-06-20,620.0,28.0,8.0,0.0,32.41,1.464,0.418,,,,,19129955,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,172
Asia,Malaysia,2020-06-20,8535.0,6.0,121.0,0.0,263.703,0.185,3.738,,,,,32365998,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,172
